05.01.2021 12:32:21.657 [restartedMain] DEBUG  o.s.c.e.PropertySourcesPropertyResolver - Found key 'spring.datasource.url' in PropertySource 'configurationProperties' with value of type String
05.01.2021 12:32:21.945 [restartedMain] DEBUG  o.s.c.e.PropertySourcesPropertyResolver - Found key 'spring.template.provider.cache' in PropertySource 'configurationProperties' with value of type String
05.01.2021 12:32:22.034 [restartedMain] DEBUG  o.s.c.e.PropertySourcesPropertyResolver - Found key 'spring.jmx.enabled' in PropertySource 'configurationProperties' with value of type String
05.01.2021 12:32:22.043 [restartedMain] DEBUG  o.s.c.e.PropertySourcesPropertyResolver - Found key 'spring.application.admin.enabled' in PropertySource 'configurationProperties' with value of type String
05.01.2021 12:32:22.062 [restartedMain] DEBUG  o.s.c.e.PropertySourcesPropertyResolver - Found key 'spring.jmx.enabled' in PropertySource 'configurationProperties' with value of type String
05.01.2021 12:32:22.127 [restartedMain] INFO   o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFERRED mode.
05.01.2021 12:32:22.137 [restartedMain] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.AutoConfigurationPackages'
05.01.2021 12:32:22.138 [restartedMain] DEBUG  o.s.b.a.AutoConfigurationPackages - @EnableAutoConfiguration was declared on a class in the package 'com.root'. Automatic @Repository and @Entity scanning is enabled.
05.01.2021 12:32:22.139 [restartedMain] DEBUG  o.s.d.r.c.RepositoryConfigurationDelegate - Scanning for JPA repositories in packages com.root.
05.01.2021 12:32:22.154 [restartedMain] DEBUG  o.s.d.r.c.RepositoryComponentProvider - Identified candidate component class: file [C:\Users\Anthony\IdeaProjects\AccountsSys\target\classes\com\root\repository\UserRepository.class]
05.01.2021 12:32:22.229 [restartedMain] DEBUG  o.s.d.r.c.RepositoryConfigurationDelegate - Registering deferred repository initialization listener.
05.01.2021 12:32:22.231 [restartedMain] INFO   o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 90 ms. Found 1 JPA repository interfaces.
05.01.2021 12:32:22.515 [restartedMain] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'propertySourcesPlaceholderConfigurer'
05.01.2021 12:32:22.523 [restartedMain] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'emBeanDefinitionRegistrarPostProcessor'
05.01.2021 12:32:22.523 [restartedMain] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.devtools.autoconfigure.DevToolsDataSourceAutoConfiguration$DatabaseShutdownExecutorEntityManagerFactoryDependsOnPostProcessor'
05.01.2021 12:32:22.529 [restartedMain] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerProcessor'
05.01.2021 12:32:22.531 [restartedMain] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'preserveErrorControllerTargetClassPostProcessor'
05.01.2021 12:32:22.532 [restartedMain] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerFactory'
05.01.2021 12:32:22.533 [restartedMain] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.transaction.config.internalTransactionalEventListenerFactory'
05.01.2021 12:32:22.537 [restartedMain] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
05.01.2021 12:32:22.538 [restartedMain] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalCommonAnnotationProcessor'
05.01.2021 12:32:22.542 [restartedMain] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalPersistenceAnnotationProcessor'
05.01.2021 12:32:22.543 [restartedMain] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.context.properties.ConfigurationPropertiesBindingPostProcessor'
05.01.2021 12:32:22.543 [restartedMain] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.context.internalConfigurationPropertiesBinder'
05.01.2021 12:32:22.543 [restartedMain] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.context.internalConfigurationPropertiesBinderFactory'
05.01.2021 12:32:22.546 [restartedMain] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'methodValidationPostProcessor'
05.01.2021 12:32:22.588 [restartedMain] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Autowiring by type from bean name 'methodValidationPostProcessor' via factory method to bean named 'environment'
05.01.2021 12:32:22.590 [restartedMain] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.context.properties.EnableConfigurationPropertiesRegistrar.methodValidationExcludeFilter'
05.01.2021 12:32:22.604 [restartedMain] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.aop.config.internalAutoProxyCreator'
05.01.2021 12:32:22.637 [restartedMain] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'dataSourceInitializerPostProcessor'
05.01.2021 12:32:22.637 [restartedMain] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'persistenceExceptionTranslationPostProcessor'
05.01.2021 12:32:22.638 [restartedMain] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Autowiring by type from bean name 'persistenceExceptionTranslationPostProcessor' via factory method to bean named 'environment'
